,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL
26) JNPT – JALGAON – JNPT,37000,30600,35000,31000,39000,33300,39000,35700,42500,36900,44000,38000,100000,42300,48000,41600,43000,NA,46000,41000,49000,NA,49000,42800,53000,NA,52000,44900,100000,NA,NA,47600
27) JNPT – SAKORE (NIPHAD) / MOHADI (DINDORI) – JNPT,19000,20700,25000,18000,25000,24300,28000,22000,27000,27000,32000,25000,100000,30600,35000,28000,28500,30600,35000,25700,80000,30600,37000,28500,90000,30600,39000,33500,100000,NA,NA,37600
28) JNPT - AHMEDNAGAR - JNPT,27500,20700,23000,22000,28500,25200,26000,26000,29500,30600,29000,28000,100000,33300,33000,32000,28000,33300,32000,29600,110000,33300,36000,32700,120000,40500,39000,36500,100000,NA,NA,43000
29) JNPT - SHIRWAL/SASEWADI/KHANDALA/ KHEDSHIVAPUR - JNPT,16000,18000,23000,17000,21000,23400,26000,21500,23000,30600,29000,25000,100000,30600,35000,27000,21000,27000,33000,23500,NA,27900,37000,25000,NA,30600,39000,27700,100000,NA,NA,30500
30) JNPT - SANGLI - JNPT,37000,30600,42000,24700,39000,33300,45000,29500,42500,36900,48000,33500,NA,40500,52000,38000,43000,40500,48000,37000,63000,40500,52000,40500,66000,44100,58000,45000,100000,NA,NA,51000
31) JNPT - KOLHAPUR - JNPT,39000,30600,42000,24700,40500,36000,45000,29500,42500,36900,48000,33500,100000,40500,52000,38000,41000,40500,48000,37000,89000,40500,52000,40500,92000,44100,58000,45000,100000,NA,NA,51000
32) JNPT - WALUJ - JNPT,28000,27000,28000,24300,32000,30600,30000,28700,38000,36000,37000,33600,100000,40500,41000,37500,36000,36900,41000,35400,43000,40500,43000,37400,47000,44110,45000,43900,100000,45000,NA,46200
33) JNPT - SOLAPUR - JNPT,39000,30600,42000,24700,40500,30600,45000,29500,42500,36000,48000,33500,100000,40500,52000,38000,41000,40500,48000,37000,63000,40500,52000,40500,66000,45000,58000,45000,100000,NA,NA,51000
34) JNPT - BELGAUM - JNPT,46000,36000,48000,36500,48000,40500,52000,43600,50000,44100,61000,46200,100000,50400,65000,52200,53000,NA,58000,47900,36950,NA,62000,51400,39910,NA,68000,61800,100000,NA,NA,71400
35) JNPT - HUBLI - JNPT,56000,40500,NA,44000,57000,45000,NA,53800,60000,50400,NA,58000,100000,54000,NA,62500,63000,NA,NA,59000,17000,NA,NA,63000,18000,NA,NA,67900,100000,NA,NA,76000
36) JNPT - GOA - JNPT,55000,36000,60000,36900,56500,40500,70000,47500,59500,44100,80000,52900,100000,50400,NA,61000,62500,NA,65000,53900,NA,NA,75000,58700,NA,NA,NA,68500,100000,NA,NA,74000
