,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
CHIPLUN (IN CPL),NA,19800,NA,NA,NA,20700,NA,NA,NA,7000,NA,21600,NA,NA,NA,9000,NA,22500,NA,NA,NA,23400,NA,NA,NA,10500,NA,24300,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
DAHANU (IN  DHU),NA,19800,NA,NA,NA,20700,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,NA,22500,NA,NA,NA,23400,NA,NA,NA,NA,NA,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18900,NA,NA
DHULE (IN  DLE),NA,14400,NA,NA,NA,15300,NA,NA,NA,NA,NA,16200,NA,NA,NA,NA,NA,17100,NA,NA,NA,18000,NA,NA,NA,NA,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33300,NA,NA
DIGHI (IN DIG),NA,11260,NA,5000,NA,11700,NA,5500,NA,NA,NA,12600,NA,6500,NA,NA,NA,13500,NA,7500,NA,14400,NA,8500,NA,NA,NA,15300,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11500,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,NA,NA,NA,18900,NA,NA,NA,20700,NA,25000,NA,18000,NA,20000
JALGAON (IN  JAL),NA,15300,NA,NA,NA,16200,NA,NA,NA,NA,NA,17100,NA,15000,NA,NA,NA,18000,NA,17000,NA,18900,NA,18000,NA,NA,NA,19800,NA,19000,NA,NA,NA,NA,NA,22000,NA,NA,NA,24000,30600,30600,NA,NA,NA,36000,NA,NA,NA,,NA,NA,NA,NA,NA,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50400,NA,NA
KALAMBOLI (IN  KLE),NA,4500,NA,5500,NA,5400,NA,6000,NA,NA,NA,6300,NA,6500,NA,NA,NA,7200,NA,7500,NA,7650,NA,8500,NA,NA,NA,8100,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA,NA,15300,NA,NA
KALYAN (IN KLY),NA,7200,NA,NA,NA,8100,NA,NA,NA,NA,NA,8650,NA,NA,NA,NA,NA,9000,NA,NA,NA,9900,NA,NA,NA,NA,NA,10800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA
KOREGAON (IN KGN),NA,11260,NA,NA,NA,11700,NA,NA,NA,NA,NA,12600,NA,NA,NA,NA,NA,13500,NA,NA,NA,14400,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
KHALAPUR (IN KLP),NA,11260,NA,5500,NA,11700,NA,6000,NA,NA,NA,12600,NA,6500,NA,NA,NA,13500,NA,7500,NA,14400,NA,8500,NA,NA,NA,15300,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA
KOLHAPUR (IN KLH),NA,23400,NA,NA,NA,24300,NA,NA,NA,NA,NA,25200,NA,12500,7125,NA,NA,26100,NA,13500,NA,27000,NA,14500,9250,NA,NA,27900,NA,15500,11900,NA,NA,NA,NA,17000,NA,NA,NA,25000,30600,30600,NA,NA,NA,36000,NA,NA,NA,,NA,NA,NA,NA,NA,25000,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA
