,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
URAN (IN URA),NA,4500,NA,5500,NA,5400,NA,6000,NA,NA,NA,6300,NA,6500,NA,NA,NA,7200,NA,7500,NA,7650,NA,8500,NA,NA,NA,8100,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
VARSOVA (IN VSV),NA,5400,NA,NA,NA,6300,NA,NA,NA,3500,NA,7650,NA,NA,NA,4000,NA,8100,NA,NA,NA,9000,NA,NA,NA,7250,NA,9900,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
WADA (IN WAD),NA,8100,NA,NA,NA,9000,NA,NA,NA,5500,NA,9900,NA,NA,NA,6750,NA,10800,NA,NA,NA,11700,NA,NA,NA,7750,NA,12600,NA,NA,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
WALUJ (IN WAL),NA,14400,NA,10000,NA,15300,NA,10500,NA,6500,NA,16200,NA,11000,7450,7500,NA,17100,NA,12000,NA,18000,NA,13000,10450,10750,NA,18900,NA,15000,13050,13750,NA,NA,NA,17000,NA,NA,NA,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,22000,15500,20750,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,NA,NA
VERNA (IN VER),NA,19800,NA,NA,NA,20700,NA,NA,NA,9750,NA,21600,NA,19500,9000,12000,NA,23400,NA,20500,NA,25200,NA,21500,11000,17250,NA,27900,NA,22500,17000,20750,NA,NA,NA,25000,NA,NA,NA,35000,36000,36000,NA,NA,NA,45000,NA,NA,NA,,NA,NA,NA,NA,NA,35000,24000,27750,NA,45000,NA,NA,NA,50400,NA,NA,NA,40500,NA,NA
PANJIM (IN PNJ),NA,19800,NA,NA,NA,20700,NA,NA,NA,9750,NA,21600,NA,19500,NA,12000,NA,23400,NA,20500,NA,25200,NA,21500,NA,17250,NA,27900,NA,22500,NA,20750,NA,NA,NA,25000,NA,NA,NA,35000,36000,36000,NA,NA,NA,45000,NA,NA,NA,,NA,NA,NA,NA,NA,35000,NA,27750,NA,45000,NA,NA,NA,50400,NA,NA,NA,40500,NA,NA
MADGAON (IN MRG),NA,19800,NA,NA,NA,20700,NA,NA,NA,9750,NA,21600,NA,19500,NA,12000,NA,23400,NA,20500,NA,25200,NA,21500,NA,17250,NA,27900,NA,22500,NA,20750,NA,NA,NA,25000,NA,NA,NA,35000,36000,36000,NA,NA,NA,45000,NA,NA,NA,,NA,NA,NA,NA,NA,35000,NA,27750,NA,45000,NA,NA,NA,50400,NA,NA,NA,40500,NA,NA
BHOPAL (IN BHO),NA,45900,NA,NA,NA,48600,NA,NA,NA,NA,NA,50400,NA,NA,NA,NA,NA,51300,NA,NA,NA,53100,NA,NA,NA,NA,NA,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,40500,NA,NA,NA,50400,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,50400,NA,NA,NA,54000,NA,NA,NA,66600,NA,NA
DEWAS (IN DEW),NA,19800,NA,NA,NA,20700,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,NA,23400,NA,NA,NA,25200,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,36000,NA,NA,NA,44100,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA,NA,50400,NA,NA,NA,60300,NA,NA
DHANNAD (IN DHA),NA,19800,NA,NA,NA,20700,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,NA,23400,NA,NA,NA,25200,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,36000,NA,NA,NA,44100,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA,NA,50400,NA,NA,NA,54000,NA,NA
INDORE (IN IDR),NA,19800,NA,NA,NA,20700,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,NA,23400,NA,NA,NA,25200,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,36000,NA,NA,NA,44100,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA,NA,50400,NA,NA,NA,54000,NA,NA
GWALIOR (IN GWL),NA,50400,NA,NA,NA,52200,NA,NA,NA,NA,NA,54999,NA,NA,NA,NA,NA,56700,NA,NA,NA,58599,NA,NA,NA,NA,NA,60300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99999,NA,NA
MANDIDEEP (IN MNP),NA,45900,NA,NA,NA,48600,NA,NA,NA,NA,NA,50400,NA,NA,NA,NA,NA,51300,NA,NA,NA,53100,NA,NA,NA,NA,NA,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,40500,NA,NA,NA,50400,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA,NA,50400,NA,NA,NA,66600,NA,NA
MANDSAUR (IN MAN),NA,45900,NA,NA,NA,48600,NA,NA,NA,NA,NA,50400,NA,NA,NA,NA,NA,51300,NA,NA,NA,53100,NA,NA,NA,NA,NA,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,40500,NA,NA,NA,50400,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA,NA,50400,NA,NA,NA,66000,NA,NA
PHITAMPUR (IN PIR),NA,19800,NA,NA,NA,20700,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,NA,23400,NA,NA,NA,25200,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,36000,NA,NA,NA,44100,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA,NA,50400,NA,NA,NA,66000,NA,NA
SILVASSA (IN SIV),NA,10800,NA,NA,NA,11700,NA,NA,NA,8000,NA,12600,NA,9000,10250,10250,NA,13500,NA,10000,NA,14400,NA,11000,12500,13000,NA,15300,NA,13000,16000,16500,NA,NA,NA,15000,NA,NA,NA,18000,18900,18900,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,18000,18000,18500,NA,28000,NA,NA,NA,33300,NA,NA,NA,20700,NA,NA
HOSUR (IN HSR),NA,41400,NA,NA,NA,42300,NA,NA,NA,20750,NA,43200,NA,NA,NA,24000,NA,44100,NA,NA,NA,45000,NA,NA,27500,29000,NA,45900,NA,NA,33000,34500,NA,NA,NA,NA,NA,NA,NA,NA,54000,54000,NA,NA,NA,66600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,41000,51750,NA,60000,NA,NA,NA,66600,NA,NA,NA,90000,NA,NA
JIGNI,NA,41400,NA,NA,NA,42300,NA,NA,NA,21850,NA,43200,NA,NA,NA,24000,NA,44100,NA,NA,NA,45000,NA,NA,24500,28750,NA,45900,NA,NA,30000,33500,NA,NA,NA,NA,NA,NA,NA,NA,54000,54000,NA,NA,NA,66600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,38000,50500,NA,60000,NA,NA,NA,66600,NA,NA,NA,90000,NA,NA
BOMMASANDRA ,NA,41400,NA,NA,NA,42300,NA,NA,NA,21850,NA,43200,NA,NA,NA,23000,NA,44100,NA,NA,NA,45000,NA,NA,24500,28750,NA,45900,NA,NA,30000,33500,NA,NA,NA,NA,NA,NA,NA,NA,54000,54000,NA,NA,NA,66600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,36000,46000,NA,60000,NA,NA,NA,66600,NA,NA,NA,90000,NA,NA
WHITFIELD,NA,41400,NA,NA,NA,42300,NA,NA,NA,21850,NA,43200,NA,NA,NA,23000,NA,44100,NA,NA,NA,45000,NA,NA,24500,28750,NA,45900,NA,NA,30000,33500,NA,NA,NA,NA,NA,NA,NA,NA,54000,54000,NA,NA,NA,66600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,36000,46000,NA,60000,NA,NA,NA,66600,NA,NA,NA,90000,NA,NA
HUBLI (IN DWR),NA,23400,NA,NA,NA,24300,NA,NA,NA,14500,NA,25200,NA,NA,NA,16250,NA,27000,NA,NA,NA,27900,NA,NA,17000,20750,NA,30600,NA,NA,19000,23000,NA,NA,NA,NA,NA,NA,NA,NA,45000,45000,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,25000,32250,NA,50400,NA,NA,NA,50400,NA,NA,NA,50400,NA,NA
DHARWAD (IN DHW),NA,23400,NA,NA,NA,24300,NA,NA,NA,14500,NA,25200,NA,NA,NA,16250,NA,27000,NA,NA,NA,27900,NA,NA,17000,20750,NA,30600,NA,NA,19000,23000,NA,NA,NA,NA,NA,NA,NA,NA,45000,45000,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,25000,32250,NA,50400,NA,NA,NA,50400,NA,NA,NA,50400,NA,NA
BELGAUM (IN BGQ),NA,23400,NA,NA,NA,24300,NA,NA,NA,12000,NA,25200,NA,NA,NA,13500,NA,27000,NA,NA,NA,27900,NA,NA,13425,16250,NA,30600,NA,NA,14250,18500,NA,NA,NA,NA,NA,NA,NA,NA,45000,45000,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,25350,26000,NA,50400,NA,NA,NA,50400,NA,NA,NA,50400,NA,NA
KAKTI,NA,23400,NA,NA,NA,24300,NA,NA,NA,12000,NA,25200,NA,NA,NA,13500,NA,27000,NA,NA,NA,27900,NA,NA,13425,16250,NA,30600,NA,NA,14250,18500,NA,NA,NA,NA,NA,NA,NA,NA,45000,45000,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,25350,26000,NA,50400,NA,NA,NA,50400,NA,NA,NA,50400,NA,NA
SHINOLI,NA,9000,NA,NA,NA,9900,NA,NA,NA,12000,NA,10800,NA,NA,NA,13500,NA,11700,NA,NA,NA,12600,NA,NA,13425,16250,NA,13500,NA,NA,14250,18500,NA,NA,NA,NA,NA,NA,NA,NA,18900,18900,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,NA,25350,26000,NA,28000,NA,NA,NA,33300,NA,NA,NA,20700,NA,NA
KUNDAIM,NA,19800,NA,NA,NA,20700,NA,NA,NA,9750,NA,21600,NA,19500,9000,12000,NA,23400,NA,20500,NA,25200,NA,21500,11000,17250,NA,27900,NA,22500,17000,20750,NA,NA,NA,25000,NA,NA,NA,35000,45000,45000,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,35000,24000,27750,NA,50400,NA,NA,NA,50400,NA,NA,NA,50400,NA,NA
MAPUSA,NA,19800,NA,NA,NA,20700,NA,NA,NA,9750,NA,21600,NA,19500,9000,12000,NA,23400,NA,20500,NA,25200,NA,21500,11000,17250,NA,27900,NA,22500,17000,20750,NA,NA,NA,25000,NA,NA,NA,35000,45000,45000,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,35000,NA,27750,NA,50400,NA,NA,NA,50400,NA,NA,NA,50400,NA,NA
BICHOLIM,NA,19800,NA,NA,NA,20700,NA,NA,NA,9750,NA,21600,NA,NA,9000,12000,NA,23400,NA,NA,NA,25200,NA,NA,11000,17250,NA,27900,NA,NA,17000,20750,NA,NA,NA,NA,NA,NA,NA,NA,45000,45000,NA,NA,NA,45900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,27750,NA,50400,NA,NA,NA,50400,NA,NA,NA,50400,NA,NA
VAPI (IN VPI),NA,8650,NA,NA,NA,9000,NA,NA,NA,8000,NA,9900,NA,9000,10250,10250,NA,10800,NA,10000,NA,11700,NA,11000,12500,13000,NA,12600,NA,13000,16000,16500,NA,NA,NA,15000,NA,NA,NA,18000,18900,18900,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,18000,18000,18500,NA,28000,NA,NA,NA,33300,NA,NA,NA,20700,NA,NA
DAMAN (IN DAM),NA,9000,NA,NA,NA,9900,NA,NA,NA,8000,NA,10800,NA,9000,10250,10250,NA,11700,NA,10000,NA,12600,NA,11000,12500,13000,NA,13000,NA,13000,16000,16500,NA,NA,NA,15000,NA,NA,NA,18000,18900,18900,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,18000,18000,18500,NA,28000,NA,NA,NA,33300,NA,NA,NA,20700,NA,NA
UMBERGAON (IN UMB),NA,9000,NA,NA,NA,9900,NA,NA,NA,8250,NA,10800,NA,NA,10250,10250,NA,11700,NA,NA,NA,12600,NA,NA,12500,13000,NA,13000,NA,NA,16000,16500,NA,NA,NA,NA,NA,NA,NA,NA,18900,18900,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,NA,18000,18500,NA,28000,NA,NA,NA,33300,NA,NA,NA,20700,NA,NA
VALSAD (IN VSD),NA,9900,NA,NA,NA,10800,NA,NA,NA,8250,NA,11700,NA,9000,10250,10250,NA,12600,NA,10000,NA,13500,NA,11000,12500,13000,NA,14000,NA,13000,16000,16500,NA,NA,NA,15000,NA,NA,NA,18000,18900,18900,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,18000,18000,18500,NA,28000,NA,NA,NA,33300,NA,NA,NA,20700,NA,NA
VADODARA (IN BRC),NA,15300,NA,NA,NA,16200,NA,NA,NA,10000,NA,17200,NA,15000,12500,13000,NA,18000,NA,17000,NA,18900,NA,19000,16500,17000,NA,20700,NA,21000,19000,19500,NA,NA,NA,23000,NA,NA,NA,24000,20700,20700,NA,NA,NA,27900,NA,NA,NA,,NA,NA,NA,NA,NA,24000,24000,25000,NA,30600,NA,NA,NA,36000,NA,32000,NA,40500,NA,35000
MAKARPUR,NA,15300,NA,NA,NA,16200,NA,NA,NA,10000,NA,17200,NA,15000,12500,13000,NA,18000,NA,17000,NA,18900,NA,19000,16500,17000,NA,20700,NA,21000,19000,19500,NA,NA,NA,23000,NA,NA,NA,24000,20700,20700,NA,NA,NA,27900,NA,NA,NA,,NA,NA,NA,NA,NA,24000,24000,25000,NA,30600,NA,NA,NA,36000,NA,32000,NA,40500,NA,35000
MANJUSAR,NA,15300,NA,NA,NA,16200,NA,NA,NA,10000,NA,17200,NA,NA,12500,13000,NA,18000,NA,NA,NA,18900,NA,NA,16500,17000,NA,20700,NA,NA,19000,19500,NA,NA,NA,NA,NA,NA,NA,NA,20700,20700,NA,NA,NA,27900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,24000,25000,NA,30600,NA,NA,NA,36000,NA,NA,NA,40500,NA,NA
ANKLESHWAR (IN AKV),NA,15300,NA,NA,NA,16200,NA,NA,NA,10000,NA,17200,NA,NA,12500,13000,NA,18000,NA,NA,NA,18900,NA,NA,16500,17000,NA,20700,NA,NA,19000,19500,NA,NA,NA,NA,NA,NA,NA,NA,18000,18000,NA,NA,NA,25000,NA,NA,NA,,NA,NA,NA,NA,NA,NA,24000,25000,NA,30600,NA,NA,NA,36000,NA,NA,NA,36900,NA,NA
HALOL (IN HLO),NA,15300,NA,NA,NA,16200,NA,NA,NA,11000,NA,17200,NA,17000,12500,13000,NA,18000,NA,19000,NA,18900,NA,21000,16500,17000,NA,20700,NA,23000,19750,20000,NA,NA,NA,25000,NA,NA,NA,30000,20700,20700,NA,NA,NA,27900,NA,NA,NA,,NA,NA,NA,NA,NA,30000,25000,26000,NA,30600,NA,NA,NA,36000,NA,NA,NA,40500,NA,NA
WAGHODIA,NA,15300,NA,NA,NA,16200,NA,NA,NA,10500,NA,17200,NA,15000,4150,13000,NA,18000,NA,17000,NA,18900,NA,19000,NA,17000,NA,20700,NA,21000,6650,20000,NA,NA,NA,23000,NA,NA,NA,24000,20700,20700,NA,NA,NA,27900,NA,NA,NA,,NA,NA,NA,NA,NA,24000,8500,26000,NA,30600,NA,NA,NA,36000,NA,32000,NA,40500,NA,35000
PADRA,NA,15300,NA,NA,NA,16200,NA,NA,NA,11000,NA,17200,NA,NA,12500,13000,NA,18000,NA,NA,NA,18900,NA,NA,16500,17000,NA,20700,NA,NA,19750,20000,NA,NA,NA,NA,NA,NA,NA,NA,20700,20700,NA,NA,NA,27900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,25000,26000,NA,30600,NA,NA,NA,36000,NA,NA,NA,40500,NA,NA
VATVA,NA,15300,NA,NA,NA,16200,NA,NA,NA,13250,NA,17200,NA,17000,13500,14500,NA,18000,NA,19000,NA,18900,NA,21000,16500,18500,NA,20700,NA,23000,20000,21000,NA,NA,NA,25000,NA,NA,NA,30000,24300,24300,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,30000,34000,36500,NA,30600,NA,NA,NA,36000,NA,NA,NA,54000,NA,NA
ASLALI,NA,15300,NA,NA,NA,16200,NA,NA,NA,12500,NA,17200,NA,17000,13500,14500,NA,18000,NA,19000,NA,18900,NA,21000,16500,17500,NA,20700,NA,23000,20000,21000,NA,NA,NA,25000,NA,NA,NA,30000,24300,24300,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,30000,34000,35500,NA,30600,NA,NA,NA,36000,NA,NA,NA,54000,NA,NA
SANAND (IN SAA),NA,15300,NA,NA,NA,16200,NA,NA,NA,13250,NA,17200,NA,17000,13500,14500,NA,18000,NA,19000,NA,18900,NA,21000,16500,18500,NA,20700,NA,23000,20000,21000,NA,NA,NA,25000,NA,NA,NA,30000,24300,24300,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,30000,35000,36500,NA,30600,NA,NA,NA,36000,NA,NA,NA,54000,NA,NA
GANDHINAGAR (IN GDH),NA,15300,NA,NA,NA,16200,NA,NA,NA,13250,NA,17200,NA,NA,13500,14500,NA,18000,NA,NA,NA,18900,NA,NA,16500,18500,NA,20700,NA,NA,20000,21000,NA,NA,NA,NA,NA,NA,NA,NA,24300,24300,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,35000,36500,NA,30600,NA,NA,NA,36000,NA,NA,NA,54000,NA,NA
SANTEJ,NA,15300,NA,NA,NA,16200,NA,NA,NA,13250,NA,17200,NA,NA,13500,14500,NA,18000,NA,NA,NA,18900,NA,NA,16500,18500,NA,20700,NA,NA,20000,21000,NA,NA,NA,NA,NA,NA,NA,NA,24300,24300,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,35000,36500,NA,30600,NA,NA,NA,36000,NA,NA,NA,54000,NA,NA
ODHAV,NA,15300,NA,NA,NA,16200,NA,NA,NA,13250,NA,17200,NA,NA,13500,14500,NA,18000,NA,NA,NA,18900,NA,NA,16500,18500,NA,21600,NA,NA,20000,21000,NA,NA,NA,NA,NA,NA,NA,NA,24300,24300,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,35000,36500,NA,30600,NA,NA,NA,36000,NA,NA,NA,54000,NA,NA
SHAPAR,NA,21600,NA,NA,NA,22500,NA,NA,NA,17000,NA,23400,NA,NA,20500,21500,NA,25200,NA,NA,NA,27900,NA,NA,22000,22500,NA,30600,NA,NA,29000,30000,NA,NA,NA,NA,NA,NA,NA,NA,30600,30600,NA,NA,NA,36900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,40000,42000,NA,36900,NA,NA,NA,45000,NA,NA,NA,66000,NA,NA
MYSORE ( IN MYQ),NA,30600,NA,NA,NA,33300,NA,NA,NA,21850,NA,34200,NA,NA,NA,23000,NA,36900,NA,NA,NA,38700,NA,NA,23000,28750,NA,41400,NA,NA,29000,33500,NA,NA,NA,NA,NA,NA,NA,NA,54000,54000,NA,NA,NA,66600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,34000,46000,NA,60000,NA,NA,NA,66600,NA,NA,NA,90000,NA,NA
YESHWANTPU,NA,30600,NA,NA,NA,33300,NA,NA,NA,21850,NA,34200,NA,NA,NA,23000,NA,36900,NA,NA,NA,38700,NA,NA,23000,28750,NA,41400,NA,NA,29000,33500,NA,NA,NA,NA,NA,NA,NA,NA,54000,54000,NA,NA,NA,66600,NA,NA,NA,,NA,NA,NA,NA,NA,NA,34000,46000,NA,60000,NA,NA,NA,66600,NA,NA,NA,90000,NA,NA
SURAT (IN UDN),NA,9900,NA,NA,NA,10800,NA,NA,NA,10000,NA,11700,NA,NA,NA,13000,NA,12600,NA,NA,NA,13500,NA,NA,NA,17000,NA,14400,NA,NA,NA,19500,NA,NA,NA,NA,NA,NA,NA,NA,18900,18900,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,25000,NA,28000,NA,NA,NA,33300,NA,NA,NA,20700,NA,NA
RAJKOT (IN RAJ),NA,19800,NA,NA,NA,20700,NA,NA,NA,17000,NA,21600,NA,NA,NA,21500,NA,23400,NA,NA,NA,25200,NA,NA,NA,22500,NA,27000,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,30600,30600,NA,NA,NA,36900,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,42000,NA,36900,NA,NA,NA,45000,NA,NA,NA,66000,NA,NA
CHIKALTHANA (IN CKH),NA,14400,NA,11000,NA,15300,NA,11500,NA,6500,NA,16200,NA,12000,7450,7500,NA,17100,NA,13000,NA,18000,NA,14000,10450,10750,NA,18000,NA,16000,13050,13750,NA,NA,NA,18000,NA,NA,NA,25000,22500,22500,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,25000,15500,20750,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA
SHENDRA,NA,14400,NA,11000,NA,15300,NA,11500,NA,6500,NA,16200,NA,12000,7450,7500,NA,17100,NA,13000,NA,18000,NA,14000,10450,10750,NA,18000,NA,16000,13050,13750,NA,NA,NA,18000,NA,NA,NA,25000,22500,22500,NA,NA,NA,30600,NA,NA,NA,,NA,NA,NA,NA,NA,25000,15500,20750,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA
WAGHOLI,NA,9900,NA,6000,NA,10800,NA,6500,NA,3750,NA,11700,NA,7000,NA,4500,NA,12600,NA,7500,NA,13500,NA,8000,NA,7000,NA,15300,NA,8500,NA,7750,NA,NA,NA,9000,NA,NA,NA,13000,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,NA,10350,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
BHOSARI,NA,9900,NA,5000,NA,10800,NA,5500,NA,3500,NA,11700,NA,6500,3800,4250,NA,12600,NA,7500,NA,13500,NA,8500,6050,6250,NA,15300,NA,9500,6050,6750,NA,NA,NA,10500,NA,NA,NA,11500,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,8000,8500,NA,18900,NA,NA,NA,20700,NA,25000,NA,18000,NA,20000
HINJAWADI,NA,9900,NA,5000,NA,10800,NA,5500,NA,3500,NA,11700,NA,6500,3800,4250,NA,12600,NA,7500,NA,13500,NA,8500,6050,6250,NA,15300,NA,9500,6050,6750,NA,NA,NA,10500,NA,NA,NA,11500,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,8000,8500,NA,18900,NA,NA,NA,20700,NA,25000,NA,18000,NA,20000
CHAKAN (IN  CKN),NA,9900,NA,5000,NA,10800,NA,5500,NA,3500,NA,11700,NA,6500,NA,4250,NA,12600,NA,7500,NA,13500,NA,8500,NA,6250,NA,13500,NA,9500,NA,6750,NA,NA,NA,10500,NA,NA,NA,11500,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,NA,8500,NA,18900,NA,NA,NA,20700,NA,25000,NA,18000,NA,20000
PIRANGUT,NA,9900,NA,6000,NA,10800,NA,6500,NA,4000,NA,11700,NA,7000,3800,4500,NA,12600,NA,7500,NA,13500,NA,8000,6050,6500,NA,13500,NA,8500,6300,7000,NA,NA,NA,9000,NA,NA,NA,13000,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,8000,10350,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
KHOPOLI,NA,7650,NA,NA,NA,8100,NA,NA,NA,3500,NA,9900,NA,NA,3800,4250,NA,10800,NA,NA,NA,11700,NA,NA,6050,6250,NA,12600,NA,NA,6300,6750,NA,NA,NA,NA,NA,NA,NA,NA,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,7500,8500,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
KARJAT,NA,7650,NA,NA,NA,8100,NA,NA,NA,4250,NA,9900,NA,NA,NA,5000,NA,10800,NA,NA,NA,11700,NA,NA,NA,6500,NA,12600,NA,NA,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,9250,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
SHIVANE / MAVAL,NA,7650,NA,6000,NA,8100,NA,6500,NA,4250,NA,9900,NA,7000,3925,5000,NA,10800,NA,7500,NA,11700,NA,8000,6050,6500,NA,13599,NA,8500,6300,7000,NA,NA,NA,9000,NA,NA,NA,13000,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,8750,9250,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
LONAVALA,NA,7650,NA,6000,NA,8100,NA,6500,NA,3500,NA,9900,NA,7000,NA,4250,NA,10800,NA,7500,NA,11700,NA,8000,NA,6250,NA,13600,NA,8500,NA,6750,NA,NA,NA,9000,NA,NA,NA,13000,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,NA,8500,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
KHANDALA,NA,7650,NA,6000,NA,8100,NA,6500,NA,6000,NA,9900,NA,7000,5350,6500,NA,10800,NA,7500,NA,11700,NA,8000,7500,7750,NA,13600,NA,8500,8900,9000,NA,NA,NA,9000,NA,NA,NA,13000,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,13000,14500,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
