,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
27) NAVI MUMBAI ,5400,5500,6300,6000,3000,7200,6500,4000,7650,7500,8100,8500,5175,8650,9500,6500,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,9500,NA,NA,NA,NA,13500,NA
28) NHAVA SHEVA,5400,5500,6300,6000,2000,7200,6500,3500,7650,7500,8100,8500,6000,8650,9500,6850,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,8000,NA,NA,NA,NA,13500,NA
29) PALGHAR,NA,NA,NA,NA,4500,NA,NA,6000,NA,NA,NA,NA,8000,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA
30) PANVEL ,5400,5500,6300,6000,3000,7200,6500,3500,7650,7500,8100,8500,4000,8650,9500,4500,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,6500,NA,NA,NA,NA,13500,NA
31) PIMPRI ,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6250,17100,10500,18000,11500,18900,NA,NA,NA,NA,22000,NA,11500,8000,15300,NA,NA,25000,20700,20000
32) PUNE ,10800,6000,11700,6500,4250,12600,7000,5000,13500,7500,14400,8000,6250,15300,8500,7250,17100,9000,18000,13000,18900,NA,NA,NA,NA,NA,NA,13000,8750,15300,NA,NA,NA,20700,NA
33) RATNAGIRI ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34) ROHA ,NA,NA,NA,NA,7500,NA,NA,8000,NA,NA,NA,NA,9000,NA,NA,9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA
35) SANGLI ,NA,NA,NA,NA,7500,NA,12500,8750,NA,13500,NA,14500,11250,NA,15500,12500,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,16000,NA,NA,NA,NA,NA,NA
36) SATARA ,NA,NA,NA,NA,6500,NA,8000,8000,NA,9000,NA,10000,8500,NA,11000,9500,NA,13000,NA,20000,NA,NA,NA,NA,NA,NA,NA,20000,16250,NA,NA,NA,NA,NA,NA
37) ICHALKARANJI,NA,NA,NA,NA,7500,NA,12500,8750,NA,13500,NA,14500,11250,NA,15500,12500,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,16000,NA,NA,NA,NA,NA,NA
38) SHIROLI,NA,NA,NA,NA,7500,NA,12500,8750,NA,13500,NA,14500,11250,NA,15500,12500,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,16000,NA,NA,NA,NA,NA,NA
39) WAI,NA,NA,NA,NA,6250,NA,8000,7250,NA,9000,NA,10000,8500,NA,11000,9500,NA,13000,NA,20000,NA,NA,NA,NA,NA,NA,NA,20000,17000,NA,NA,NA,NA,NA,NA
40) PHALTAN,11250,NA,11700,NA,8500,12000,NA,9750,12500,NA,13000,NA,11500,13500,NA,13250,14400,NA,15300,NA,15300,NA,20700,NA,NA,NA,NA,NA,15650,NA,NA,NA,NA,24300,NA
41) HADAPSAR,10800,6000,11700,6500,6750,12600,7000,6000,13500,7500,14400,8000,7250,15300,8500,8500,17100,9000,18000,13000,18900,NA,NA,NA,NA,NA,NA,13000,10500,15300,NA,NA,NA,20700,NA
42) SHAHAPUR ,NA,5000,NA,5500,NA,NA,6500,NA,NA,7500,NA,8500,NA,NA,9500,NA,NA,11000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA
43) SHIRUR ,NA,9000,NA,9500,NA,NA,10000,NA,NA,10500,NA,11000,NA,NA,12000,NA,NA,13000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA
44) SINDHUDURG ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45) SINNAR ,10800,6000,11700,6500,5000,12600,7500,5750,13500,8500,14400,9500,8200,15300,10500,8900,17100,12000,18000,17000,18900,NA,NA,NA,NA,NA,NA,17000,14500,15300,NA,NA,NA,20700,NA
46) SOLAPUR ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
