,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
115) TALOJA,5400,6000,6300,6500,2500,7200,7500,3000,7650,8500,8100,9500,4500,8650,10500,6000,9000,11500,9900,14000,NA,NA,NA,NA,NA,NA,NA,14000,7500,NA,NA,NA,NA,13500,NA
116) KALAMBOLI ,5400,5500,6300,6000,2500,7200,6500,3000,7650,7500,8100,8500,4500,8650,9500,6000,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,6500,NA,NA,NA,NA,13500,NA
117) AMBERNATH,7200,NA,7560,NA,4500,8100,NA,5000,8650,NA,9000,NA,6750,9900,NA,7250,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,14400,NA,NA,NA,14400,NA
118) MAHAD,NA,5500,NA,6500,6000,NA,8500,8000,NA,9500,NA,10500,9750,NA,11500,10750,NA,12500,NA,18000,NA,NA,NA,NA,NA,NA,NA,18000,12000,NA,NA,NA,NA,NA,NA
119) VASAI,7200,NA,7560,NA,5000,8100,NA,5750,8650,NA,9000,NA,6500,9900,NA,7500,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,14400,NA,NA,NA,14400,NA
120) OZAR,NA,6000,NA,6500,5000,NA,7500,6500,NA,8500,NA,9500,8500,NA,10500,9250,NA,12000,NA,17000,NA,NA,NA,NA,NA,NA,NA,17000,14500,NA,NA,NA,NA,NA,NA
121) SATPUR,10800,5000,11700,5500,4250,12600,6500,6000,13500,7500,14400,8500,8200,15300,9500,8900,17100,11000,18000,16000,18900,NA,NA,NA,NA,NA,NA,16000,13750,15300,NA,NA,NA,20700,NA
122) AMBAD,NA,5000,NA,5500,4250,NA,6500,6000,NA,7500,NA,8500,8200,NA,9500,8900,NA,11000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,13750,NA,NA,NA,NA,NA,NA
123) GONDE,10800,5000,11700,5500,5000,12600,6500,5750,13500,7500,14400,8500,8200,15300,9500,8900,17100,11000,18000,16000,18900,NA,NA,NA,NA,NA,NA,16000,14500,15300,NA,NA,NA,20700,NA
124) RANJANGAON,12600,9000,13500,9500,4500,14400,10000,6000,15300,10500,16200,11000,7750,17100,12000,8500,NA,13000,NA,16000,23400,NA,30600,NA,NA,NA,NA,16000,9000,31500,NA,32400,NA,20700,NA
125) SANASWADI,12600,6000,13500,6500,4500,14400,7000,6000,15300,7500,16200,8000,7750,17100,8500,8500,NA,9000,NA,13000,23400,NA,30600,NA,NA,NA,NA,13000,9000,31500,NA,32400,NA,20700,NA
126) TARAPUR,NA,NA,NA,NA,4500,NA,NA,6000,NA,NA,NA,NA,8000,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA
127) KARAD,NA,NA,NA,NA,6750,NA,12500,8500,NA,13500,NA,14500,11000,NA,15500,12000,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,19250,NA,NA,NA,NA,NA,NA
128) SHRIWAL,14400,NA,15300,NA,6500,16300,8000,8000,17100,9000,18000,10000,8500,19800,11000,9500,NA,13000,NA,20000,25200,NA,32400,NA,NA,NA,NA,20000,16250,33300,NA,34200,NA,22500,NA
129) BOISAR,NA,NA,NA,NA,4500,NA,NA,6000,NA,NA,NA,NA,8000,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA
130) PALGHAR ,NA,NA,NA,NA,4500,NA,NA,6000,NA,NA,NA,NA,8000,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA
131) MULSHI,12600,6000,13500,6500,NA,14400,7000,NA,15300,7500,16200,8000,NA,17100,8500,NA,NA,9000,NA,13000,23400,NA,30600,NA,NA,NA,NA,13000,NA,31500,NA,32400,NA,20700,NA
132) TURBHE,5400,5500,6300,6000,2500,7200,6500,3000,7650,7500,8100,8500,4250,8650,9500,5500,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,6750,NA,NA,NA,NA,13500,NA
133) MAHAPE,5400,5500,6300,6000,2500,7200,6500,3000,7650,7500,8100,8500,4250,8650,9500,5500,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,6750,NA,NA,NA,NA,13500,NA
134) BADLAPUR,7200,NA,7560,NA,NA,8100,NA,NA,8650,NA,9000,NA,NA,9900,NA,NA,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,14400,NA
135) ULHASNAGAR,7200,NA,7560,NA,NA,8100,NA,NA,8650,NA,9000,NA,NA,9900,NA,NA,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,14400,NA
136) DOMBIVLI,7200,NA,7560,NA,4500,8100,NA,5000,8650,NA,9000,NA,6750,9900,NA,7250,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,14400,NA,NA,NA,14400,NA
137) VIRAR,7200,NA,7560,NA,5000,8100,NA,6000,8650,NA,9000,NA,7250,9900,NA,8000,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,14400,NA,NA,NA,14400,NA
138) MASJID BUNDER,7200,NA,7560,NA,3750,8100,NA,4000,8650,NA,9000,NA,5000,9900,NA,7500,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,14400,NA,NA,NA,14400,NA
139) KALBADEVI,7200,NA,7560,NA,NA,8100,NA,NA,8650,NA,9000,NA,NA,9900,NA,NA,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,14400,NA
140) SEWRI,7200,NA,7560,NA,NA,8100,NA,NA,8650,NA,9000,NA,NA,9900,NA,NA,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,14400,NA
