,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new
JNPT – SATARA – JNPT,NA,21600,NA,23000,NA,19000,NA,26100,NA,26000,NA,22500,NA,32400,NA,29000,NA,24000,NA,35100,NA,35000,NA,26000,NA,33300,NA,33000,NA,28700,NA,36000,NA,37000,NA,30400,NA,40500,NA,39000,NA,32500,NA,NA,NA,NA,NA,34900
JNPT – PHALTAN – JNPT,NA,21600,NA,23000,NA,19000,NA,25200,NA,26000,NA,22500,NA,30600,NA,29000,NA,24000,NA,33300,NA,35000,NA,26000,NA,33300,NA,33000,NA,28700,NA,36000,NA,37000,NA,30400,NA,40500,NA,39000,NA,32500,NA,NA,NA,NA,NA,34900
JNPT – DHARWAD – JNPT,NA,40500,NA,48000,NA,45000,NA,50400,NA,52000,NA,54800,NA,60300,NA,61000,NA,59000,NA,72000,NA,65000,NA,63500,NA,66600,NA,58000,NA,60000,NA,70200,NA,62000,NA,64000,NA,81000,NA,68000,NA,68900,NA,NA,NA,NA,NA,77000
JNPT – AURANGABAD – JNPT,22000,27900,NA,28000,NA,26000,NA,30600,NA,30000,NA,30300,NA,40500,NA,37000,NA,33600,NA,45000,NA,41000,NA,39500,NA,44000,NA,41000,NA,37500,NA,45000,NA,43000,NA,39800,NA,50400,NA,45000,NA,44600,NA,NA,NA,NA,NA,49800
JNPT – SILVASSA / DAMAN / VAPI – JNPT,16000,18900,NA,22000,NA,19000,18000,23400,NA,25000,NA,23900,23000,25000,NA,27000,NA,27000,26000,30600,NA,29000,NA,30500,26000,27900,NA,29000,NA,28500,26700,27900,NA,34000,NA,30500,33000,30600,NA,37000,NA,34900,NA,36900,NA,NA,NA,37500
JNPT – CHIPLUN – JNPT,NA,27000,NA,25000,NA,19500,NA,30600,NA,29000,NA,23000,NA,NA,NA,32000,NA,26500,NA,NA,NA,35000,NA,28000,NA,NA,NA,34000,NA,24500,NA,NA,NA,37000,NA,26000,NA,NA,NA,45000,NA,28500,NA,NA,NA,NA,NA,31000
JNPT – ROHA – JNPT,NA,NA,NA,18000,NA,13000,NA,NA,NA,21000,NA,16000,NA,NA,NA,25000,NA,18500,NA,NA,NA,28000,NA,20600,NA,NA,NA,26000,NA,18000,NA,NA,NA,29000,NA,19500,NA,NA,NA,32000,NA,23500,NA,NA,NA,NA,NA,26500
JNPT – WADA – JNPT,NA,14400,NA,18000,NA,13500,NA,18000,NA,20000,NA,17700,NA,20700,NA,22000,NA,19500,NA,24300,NA,25000,NA,21500,NA,NA,NA,24000,NA,19500,NA,24300,NA,27000,NA,21000,NA,27000,NA,30000,NA,23500,NA,NA,NA,NA,NA,27000
JNPT – JALGAON – JNPT,NA,33300,NA,35000,NA,32000,NA,36900,NA,39000,NA,36700,NA,40500,NA,44000,NA,39000,NA,42300,NA,48000,NA,42600,NA,NA,NA,46000,NA,42000,NA,50400,NA,49000,NA,43800,NA,56700,NA,52000,NA,45900,NA,60300,NA,NA,NA,48600
JNPT – SAKORE (NIPHAD) / MOHADI (DINDORI) – JNPT,NA,20700,NA,25000,NA,19000,NA,22500,NA,28000,NA,23000,NA,27000,NA,32000,NA,26000,NA,30600,NA,35000,NA,29000,NA,30600,NA,35000,NA,26700,NA,33300,NA,37000,NA,29500,NA,36000,NA,39000,NA,34500,NA,NA,NA,NA,NA,38600
JNPT - AHMEDNAGAR - JNPT,19000,23400,NA,23000,NA,23000,21000,24300,NA,26000,NA,27000,24000,27000,NA,29000,NA,29000,31000,33300,NA,33000,NA,33000,33000,45000,NA,32000,NA,30600,34000,50000,NA,36000,NA,33700,35000,54000,NA,39000,NA,37500,NA,NA,NA,NA,NA,44000
JNPT - SHIRWAL/SANASWADI/KHANDALA/ KHEDSHIVAPUR - JNPT,16000,20700,NA,23000,NA,18000,19000,22500,NA,26000,NA,22500,24000,27000,NA,29000,NA,26000,26000,30600,NA,35000,NA,28000,26000,25400,NA,33000,NA,24500,26000,32400,NA,37000,NA,26000,28000,33300,NA,39000,NA,28700,NA,NA,NA,NA,NA,31500
JNPT - SANGLI - JNPT,NA,30600,NA,42000,NA,25700,NA,NA,NA,45000,NA,30500,NA,NA,NA,48000,NA,34500,NA,NA,NA,52000,NA,39000,NA,NA,NA,48000,NA,38000,NA,NA,NA,52000,NA,41500,NA,NA,NA,58000,NA,46000,NA,NA,NA,NA,NA,52000
JNPT - KOLHAPUR - JNPT,NA,30600,NA,42000,NA,25700,NA,30600,NA,45000,NA,30500,NA,36900,NA,48000,NA,34500,NA,40500,NA,52000,NA,39000,NA,NA,NA,48000,NA,38000,NA,45000,NA,52000,NA,41500,NA,45000,NA,58000,NA,46000,NA,NA,NA,NA,NA,52000
JNPT - WALUJ - JNPT,NA,27000,NA,28000,NA,25300,NA,33300,NA,30000,NA,29700,NA,36900,NA,37000,NA,34600,NA,40500,NA,41000,NA,38500,NA,NA,NA,41000,NA,36400,NA,40500,NA,43000,NA,38400,NA,40500,NA,45000,NA,44900,NA,NA,NA,NA,NA,47200
JNPT - SOLAPUR - JNPT,NA,25200,NA,42000,NA,25700,NA,31500,NA,45000,NA,30500,NA,36000,NA,48000,NA,34500,NA,40500,NA,52000,NA,39000,NA,NA,NA,48000,NA,38000,NA,40500,NA,52000,NA,41500,NA,44100,NA,58000,NA,46000,NA,50000,NA,NA,NA,52000
JNPT - BELGAUM - JNPT,NA,40500,NA,48000,NA,37500,NA,NA,NA,52000,NA,44600,NA,NA,NA,61000,NA,47200,NA,NA,NA,65000,NA,53200,NA,NA,NA,58000,NA,48900,NA,NA,NA,62000,NA,52400,NA,NA,NA,68000,NA,62800,NA,NA,NA,NA,NA,72400
JNPT - HUBLI - JNPT,NA,44100,NA,NA,NA,45000,NA,NA,NA,NA,NA,54800,NA,NA,NA,NA,NA,59000,NA,NA,NA,NA,NA,63500,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,NA,64000,NA,NA,NA,NA,NA,68900,NA,NA,NA,NA,NA,77000
JNPT - GOA - JNPT,NA,38700,NA,60000,NA,37900,NA,48600,NA,70000,NA,48500,NA,54000,NA,80000,NA,53900,NA,54900,NA,NA,NA,62000,NA,60300,NA,65000,NA,54900,NA,60300,NA,75000,NA,59700,NA,72000,NA,NA,NA,69500,NA,NA,NA,NA,NA,75000
JNPT - VASAI - JNPT,NA,15300,NA,20000,NA,14500,NA,20700,NA,22000,NA,17600,NA,24300,NA,26000,NA,21500,NA,NA,NA,28000,NA,24500,NA,NA,NA,28000,NA,21000,NA,25200,NA,32500,NA,25800,NA,25400,NA,34500,NA,28600,NA,NA,NA,NA,NA,35600
JNPT - PANVEL CITY/ NAVI MUMBAI - JNPT,NA,9900,NA,15000,NA,9000,NA,9900,NA,17000,NA,12000,NA,11700,NA,19000,NA,14000,NA,12600,NA,22000,NA,15500,NA,NA,NA,16000,NA,13000,NA,12600,NA,18000,NA,14500,NA,14400,NA,24000,NA,16000,NA,15300,NA,NA,NA,18000
JNPT - VADODARA - JNPT,NA,33300,NA,40000,NA,34000,NA,40500,NA,45000,NA,39800,NA,40500,NA,48000,NA,44600,NA,45000,NA,54000,NA,48900,NA,NA,NA,48000,NA,47900,NA,54000,NA,52000,NA,52600,NA,60300,NA,58000,NA,59700,NA,60300,NA,NA,NA,65000
JNPT - AHMEDABAD - JNPT,NA,40500,NA,48000,NA,41000,NA,45000,NA,53000,NA,49500,NA,50400,NA,56000,NA,55900,NA,50400,NA,62000,NA,63500,NA,NA,NA,56000,NA,59800,NA,56700,NA,60000,NA,64200,NA,63900,NA,64000,NA,68500,NA,66600,NA,NA,NA,76500
JNPT - PITHAMPUR - JNPT,NA,45000,NA,NA,NA,44000,NA,50400,NA,NA,NA,57000,NA,NA,NA,NA,NA,63000,NA,NA,NA,NA,NA,68000,NA,NA,NA,NA,NA,62000,NA,NA,NA,NA,NA,65000,NA,NA,NA,NA,NA,68700,NA,NA,NA,NA,NA,75000
JNPT - MANDIDEEP - JNPT,NA,54000,NA,NA,NA,58000,NA,60300,NA,NA,NA,65400,NA,70200,NA,NA,NA,68000,NA,72000,NA,NA,NA,72000,NA,NA,NA,NA,NA,72000,NA,80100,NA,NA,NA,79500,NA,90000,NA,NA,NA,84000,NA,NA,NA,NA,NA,89700
JNPT - DANNAD- JNPT,NA,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JNPT - DEWAS- JNPT,NA,45000,NA,NA,NA,45000,NA,50400,NA,NA,NA,59000,NA,60300,NA,NA,NA,65400,NA,63900,NA,NA,NA,70300,NA,NA,NA,NA,NA,65000,NA,66600,NA,NA,NA,68000,NA,70200,NA,NA,NA,71000,NA,NA,NA,NA,NA,78600
JNPT - BHOPAL- JNPT,NA,54000,NA,NA,NA,58000,NA,60300,NA,NA,NA,65400,NA,70200,NA,NA,NA,68000,NA,72000,NA,NA,NA,72000,NA,NA,NA,NA,NA,72000,NA,90000,NA,NA,NA,79500,NA,90000,NA,NA,NA,84000,NA,90000,NA,NA,NA,89700
JNPT - VODODARA- JNPT,NA,33300,NA,40000,NA,34000,NA,40500,NA,45000,NA,39800,NA,40500,NA,48000,NA,44600,NA,45000,NA,54000,NA,48900,NA,NA,NA,48000,NA,47900,NA,54000,NA,52000,NA,52600,NA,60300,NA,58000,NA,59700,NA,60300,NA,NA,NA,65000
JNPT - PITHAMPUR- JNPT,NA,45000,NA,NA,NA,44000,NA,50400,NA,NA,NA,57000,NA,60300,NA,NA,NA,63000,NA,60300,NA,NA,NA,68000,NA,NA,NA,NA,NA,62000,NA,66600,NA,NA,NA,65000,NA,70200,NA,NA,NA,68700,NA,72000,NA,NA,NA,75000
JNPT - ANKLESHWAR- JNPT,NA,33300,NA,40000,NA,34000,NA,40500,NA,45000,NA,398000,NA,40500,NA,48000,NA,42500,NA,45000,NA,54000,NA,45700,NA,NA,NA,48000,NA,43500,NA,54000,NA,52000,NA,45600,NA,60300,NA,58000,NA,48500,NA,60300,NA,NA,NA,53700
JNPT - Andheri - JNPT,NA,15300,NA,NA,NA,12500,NA,20700,NA,NA,NA,15400,NA,24300,NA,NA,NA,18000,NA,NA,NA,NA,NA,21400,NA,NA,NA,NA,NA,25000,NA,25200,NA,NA,NA,28000,NA,25400,NA,NA,NA,NA,NA,NA,NA,NA,NA,34400
