,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
CHIPLUN (IN CPL),NA,10800,NA,NA,NA,11700,NA,NA,NA,7000,NA,12600,7800,NA,NA,9000,NA,13500,NA,NA,NA,14400,8700,NA,NA,10500,NA,15300,12000,NA,NA,11500,NA,17100,13500,NA,NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,NA,15300,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
DAHANU (IN  DHU),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DHULE (IN  DLE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIGHI (IN DIG),NA,NA,NA,5000,NA,NA,NA,5500,NA,NA,NA,NA,NA,6500,NA,NA,NA,NA,NA,7500,NA,NA,NA,8500,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,20000
JALGAON (IN  JAL),NA,11700,NA,NA,NA,12000,NA,NA,NA,NA,NA,12500,NA,15000,NA,NA,NA,12960,NA,17000,NA,13500,NA,18000,NA,NA,NA,14400,NA,19000,NA,NA,NA,20700,NA,22000,NA,21600,NA,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,NA,NA,NA,25200,NA,NA,NA,NA,NA,NA,NA,42300,NA,NA
KALAMBOLI (IN  KLE),NA,5400,NA,5500,NA,6300,NA,6000,NA,NA,NA,7200,NA,6500,NA,NA,NA,7650,NA,7500,NA,8100,NA,8500,NA,NA,NA,8650,NA,9500,NA,NA,NA,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
KALYAN (IN KLY),NA,7200,NA,NA,NA,7560,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,8650,NA,NA,NA,9000,NA,NA,NA,NA,NA,9900,NA,NA,NA,NA,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12600,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
KOREGAON (IN KGN),NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,12600,NA,NA,NA,NA,NA,13500,NA,NA,NA,14400,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,17100,NA,NA,NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
KHALAPUR (IN KLP),NA,NA,NA,5500,NA,NA,NA,6000,NA,NA,NA,NA,NA,6500,NA,NA,NA,NA,NA,7500,NA,NA,NA,8500,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOLHAPUR (IN KLH),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,7125,NA,NA,NA,NA,13500,NA,NA,NA,14500,9250,NA,NA,NA,NA,15500,11900,NA,NA,NA,NA,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
