,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
VARSOVA (IN VSV),NA,7200,NA,NA,NA,7560,NA,NA,NA,3500,NA,8100,NA,NA,NA,4000,NA,8650,NA,NA,NA,9000,NA,NA,NA,7000,NA,9900,NA,NA,NA,9500,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11500,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
WADA (IN WAD),NA,7200,NA,NA,NA,7560,NA,NA,NA,5500,NA,8100,NA,NA,NA,6750,NA,8650,NA,NA,NA,9000,NA,NA,NA,7750,NA,9900,NA,NA,NA,8500,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
WALUJ (IN WAL),NA,15300,NA,10000,NA,16200,NA,10500,NA,6000,NA,17100,NA,11000,7450,8000,NA,18000,NA,12000,NA,18900,NA,13000,10450,10450,NA,20700,NA,15000,13050,13050,NA,24300,NA,17000,NA,25200,NA,22000,NA,23400,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,15500,15500,NA,24000,NA,NA,NA,27900,NA,NA,NA,33300,NA,NA
VERNA (IN VER),NA,18000,NA,NA,NA,21600,NA,NA,NA,7500,10000,24300,16000,19500,9000,9000,NA,27000,NA,20500,NA,30600,18000,21500,11000,13250,12500,31500,20000,22500,17000,17000,16500,36000,21000,25000,NA,36000,NA,35000,NA, ,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,22000,NA,NA,35000,24000,24000,NA,36900,NA,NA,NA,NA,NA,NA,33000,45900,NA,NA
PANJIM (IN PNJ),NA,18000,NA,NA,NA,21600,NA,NA,NA,7500,NA,24300,NA,19500,NA,9000,NA,  ,NA,20500,NA,30600,NA,21500,NA,13250,NA,31500,NA,22500,NA,17000,NA,36000,NA,25000,NA,36000,NA,35000,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,NA,24000,NA,36900,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA
MADGAON (IN MRG),NA,18000,NA,NA,NA,21600,NA,NA,NA,7500,NA,24300,NA,19500,NA,9000,NA,27000,NA,20500,NA,30600,NA,21500,NA,13250,NA,31500,NA,22500,NA,17000,NA,36000,NA,25000,NA,36000,NA,35000,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,NA,24000,NA,36900,NA,NA,NA,NA,NA,NA,NA,45900,NA,NA
BHOPAL (IN BHO),NA,18000,NA,NA,NA,18000,NA,NA,NA,NA,NA,18000,NA,NA,NA,NA,NA,18000,NA,NA,NA,20800,NA,NA,NA,NA,NA,20800,NA,NA,NA,NA,NA,30600,NA,NA,NA,31500,NA,NA,NA,36000,NA,NA,NA,47250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48700,NA,NA
DEWAS (IN DEW),NA,13500,NA,NA,NA,14400,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,15300,NA,NA,NA,16200,NA,NA,NA,NA,NA,19800,NA,NA,NA,NA,NA,23400,NA,NA,NA,24300,NA,NA,NA,33300,NA,NA,NA,44100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27900,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA
DHANNAD (IN DHA),NA,13500,NA,NA,NA,14400,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,15300,NA,NA,NA,16200,NA,NA,NA,NA,NA,19800,NA,NA,NA,NA,NA,23400,NA,NA,NA,24300,NA,NA,NA,33300,NA,NA,NA,44100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27900,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA
INDORE (IN IDR),NA,13500,NA,NA,NA,14400,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,15300,NA,NA,NA,16200,NA,NA,NA,NA,NA,19800,NA,NA,NA,NA,NA,23400,NA,NA,NA,24300,NA,NA,NA,33300,NA,NA,NA,44100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27900,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA
GWALIOR (IN GWL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANDIDEEP (IN MNP),NA,18000,NA,NA,NA,18000,NA,NA,NA,NA,NA,18000,NA,NA,NA,NA,NA,18000,NA,NA,NA,20800,NA,NA,NA,NA,NA,20800,NA,NA,NA,NA,NA,30600,NA,NA,NA,31500,NA,NA,NA,36000,NA,NA,NA,47250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48700,NA,NA
MANDSAUR (IN MAN),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHITAMPUR (IN PIR),NA,13500,NA,NA,NA,14400,NA,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,15300,NA,NA,NA,16200,NA,NA,NA,NA,NA,19800,NA,NA,NA,NA,NA,23400,NA,NA,NA,24300,NA,NA,NA,33300,NA,NA,NA,44100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27900,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA
SILVASSA (IN SIV),NA,8100,NA,NA,NA,9000,NA,NA,NA,8000,7500,9900,NA,9000,10250,10250,NA,10800,NA,10000,NA,11700,NA,11000,12500,12500,8500,12600,NA,13000,16000,16000,10000,13500,NA,15000,NA,14400,NA,18000,NA,15300,NA,NA,NA,18900,NA,NA,NA,NA,NA,NA,12000,NA,NA,18000,18000,18000,NA,23400,NA,NA,NA,27000,NA,NA,20000,20700,NA,NA
HOSUR (IN HSR),NA,24300,NA,NA,NA,24300,NA,NA,NA,NA,NA,27000,NA,NA,NA,21850,NA,28000,NA,NA,NA,29000,NA,NA,27500,27500,NA,30600,NA,NA,33000,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,41000,NA,36000,NA,NA,NA,40500,NA,NA,NA,72000,NA,NA
JIGNI,NA,24300,NA,NA,NA,24300,NA,NA,NA,NA,NA,27000,NA,NA,NA,19250,NA,28000,NA,NA,NA,29000,NA,NA,24500,24500,NA,30600,NA,NA,30000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000,38000,NA,36000,NA,NA,NA,40500,NA,NA,NA,72000,NA,NA
BOMMASANDRA ,NA,24300,NA,NA,NA,24300,NA,NA,NA,NA,NA,27000,NA,NA,NA,19250,NA,28000,NA,NA,NA,29000,NA,NA,24500,24500,NA,30600,NA,NA,30000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,36000,NA,36000,NA,NA,NA,40500,NA,NA,NA,72000,NA,NA
WHITFIELD,NA,24300,NA,NA,NA,24300,NA,NA,NA,NA,NA,27000,NA,NA,NA,19250,NA,28000,NA,NA,NA,29000,NA,NA,24500,24500,NA,30600,NA,NA,30000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33300,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,36000,NA,36000,NA,NA,NA,40500,NA,NA,NA,72000,NA,NA
HUBLI (IN DWR),NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,19800,NA,NA,NA,16250,NA,20700,NA,NA,NA,21600,NA,NA,17000,18750,NA,22500,NA,NA,19000,20750,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA,NA
DHARWAD (IN DHW),NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,19800,NA,NA,NA,16250,NA,20700,NA,NA,NA,21600,NA,NA,17000,18750,NA,22500,NA,NA,19000,20750,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA,NA
BELGAUM (IN BGQ),NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,19800,NA,NA,NA,13250,NA,20700,NA,NA,NA,21600,NA,NA,13425,13750,NA,22500,NA,NA,14250,16750,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,21500,NA,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA,NA
KAKTI,NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,19800,NA,NA,NA,13250,NA,20700,NA,NA,NA,21600,NA,NA,13425,13750,NA,22500,NA,NA,14250,16750,NA,NA,NA,NA,NA,NA,NA,NA,NA,24300,21500,NA,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA,NA
SHINOLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,NA,NA,NA,NA,13425,13750,NA,NA,NA,NA,14250,16750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KUNDALM,NA,12600,NA,NA,NA,14400,NA,NA,NA,7500,10000,15300,17000,19500,9000,9000,NA,17100,NA,20500,NA,18900,20000,21500,11000,13250,12500,20700,NA,22500,17000,17000,16500,NA,22000,25000,NA,NA,NA,35000,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,22000,NA,NA,35000,24000,24000,NA,33300,NA,NA,NA,36900,NA,NA,33000,45000,NA,NA
MAPUSA,NA,12600,NA,NA,NA,14400,NA,NA,NA,7500,10000,15300,17000,19500,9000,9000,NA,17100,NA,20500,NA,18900,20000,21500,11000,13250,12500,20700,21000,22500,17000,17000,16500,NA,22000,25000,NA,NA,NA,35000,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,22000,NA,NA,35000,NA,24000,NA,33300,NA,NA,NA,36900,NA,NA,33000,45000,NA,NA
BICHOLIM,NA,12600,NA,NA,NA,14400,NA,NA,NA,7500,NA,15300,NA,NA,9000,9000,NA,17100,NA,NA,NA,18900,NA,NA,11000,13250,NA,20700,NA,NA,17000,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,NA,33300,NA,NA,NA,36900,NA,NA,NA,45000,NA,NA
VAPI (IN VPI),NA,10800,NA,NA,NA,11700,NA,NA,NA,8000,NA,12600,NA,9000,10250,10250,NA,13500,NA,10000,NA,14400,NA,11000,12500,12500,NA,15300,NA,13000,16000,16000,NA,NA,NA,15000,NA,NA,NA,18000,NA,20700,NA,NA,NA,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,18000,18000,NA,18000,NA,NA,NA,18900,NA,NA,NA,18900,NA,NA
DAMAN (IN DAM),NA,10800,NA,NA,NA,11700,NA,NA,NA,8000,NA,12600,NA,9000,10250,10250,NA,13500,NA,10000,NA,14400,NA,11000,12500,12500,NA,15300,NA,13000,16000,16000,NA,NA,NA,15000,NA,NA,NA,18000,NA,20700,NA,NA,NA,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,18000,18000,NA,18000,NA,NA,NA,18900,NA,NA,NA,18900,NA,NA
UMBERGAON (IN UMB),NA,10800,NA,NA,NA,11700,NA,NA,NA,8000,NA,12600,NA,NA,10250,10250,NA,13500,NA,NA,NA,14400,NA,NA,12500,12500,NA,15300,NA,NA,16000,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA,NA,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,18000,NA,18000,NA,NA,NA,18900,NA,NA,NA,18900,NA,NA
VALSAD (IN VSD),NA,10800,NA,NA,NA,11700,NA,NA,NA,8000,NA,12600,NA,9000,10250,10250,NA,13500,NA,10000,NA,14400,NA,11000,12500,12500,NA,15300,NA,13000,16000,16000,NA,NA,NA,15000,NA,NA,NA,18000,NA,20700,NA,NA,NA,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,18000,18000,NA,18000,NA,NA,NA,18900,NA,NA,NA,18900,NA,NA
VADODARA (IN BRC),NA,12600,NA,NA,NA,14440,NA,NA,NA,9500,NA,15300,NA,15000,12500,12500,NA,18900,NA,17000,NA,20700,NA,19000,16500,16500,NA,23000,NA,21000,19000,19000,NA,NA,NA,23000,NA,NA,NA,24000,NA,30000,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,24000,24000,NA,26000,NA,NA,NA,30600,NA,32000,NA,36000,NA,35000
MAKARPUR,NA,12600,NA,NA,NA,14440,NA,NA,NA,9500,NA,15300,NA,15000,12500,12500,NA,18900,NA,17000,NA,20700,NA,19000,16500,16500,NA,23000,NA,21000,19000,19000,NA,NA,NA,23000,NA,NA,NA,24000,NA,30000,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,24000,24000,NA,26000,NA,NA,NA,30600,NA,32000,NA,36000,NA,35000
MANJUSAR,NA,12600,NA,NA,NA,14440,NA,NA,NA,9500,NA,15300,NA,NA,12500,12500,NA,18900,NA,NA,NA,20700,NA,NA,16500,16500,NA,23000,NA,NA,19000,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,24000,NA,26000,NA,NA,NA,30600,NA,NA,NA,36000,NA,NA
ANKLESHWAR (IN AKV),NA,11700,NA,NA,NA,13500,NA,NA,NA,8500,NA,14400,NA,NA,12500,12500,NA,16200,NA,NA,NA,17100,NA,NA,16500,16500,NA,18000,NA,NA,19000,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25400,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,24000,NA,22500,NA,NA,NA,24300,NA,NA,NA,27000,NA,NA
HALOL (IN HLO),NA,12600,NA,NA,NA,14440,NA,NA,NA,9500,NA,15300,NA,17000,12500,12500,NA,18900,NA,19000,NA,20700,NA,21000,16500,16500,NA,23000,NA,23000,19750,19750,NA,NA,NA,25000,NA,NA,NA,30000,NA,30000,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,25000,25000,NA,26000,NA,NA,NA,30600,NA,NA,NA,36000,NA,NA
WAGHOLI,NA,12600,NA,NA,NA,14440,NA,NA,NA,9500,7500,15300,NA,15000,4150,12500,NA,18900,NA,17000,NA,20700,6300,19000,NA,16500,10000,23000,NA,21000,6650,19750,10500,NA,NA,23000,NA,NA,NA,24000,NA,30000,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,13500,NA,NA,24000,8500,25000,NA,26000,NA,NA,NA,30600,NA,32000,20000,36000,NA,35000
PADRA,NA,12600,NA,NA,NA,14440,NA,NA,NA,9500,NA,15300,NA,NA,12500,12500,NA,18900,NA,NA,NA,20700,NA,NA,16500,16500,NA,23000,NA,NA,19750,19750,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,25000,NA,26000,NA,NA,NA,30600,NA,NA,NA,36000,NA,NA
VATVA,NA,12600,NA,NA,NA,13500,NA,NA,NA,16250,NA,14400,NA,17000,13500,17500,NA,15300,NA,19000,NA,16200,NA,21000,16500,18000,NA,18500,NA,23000,20000,24000,NA,NA,NA,25000,NA,NA,NA,30000,NA,30600,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,34000,35000,NA,27900,NA,NA,NA,33300,NA,NA,NA,43200,NA,NA
ASLALI,NA,12600,NA,NA,NA,13500,NA,NA,NA,14000,NA,14400,NA,17000,13500,16250,NA,15300,NA,19000,NA,16200,NA,21000,16500,17500,NA,18500,NA,23000,20000,22500,NA,NA,NA,25000,NA,NA,NA,30000,NA,30600,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,34000,34000,NA,27900,NA,NA,NA,33300,NA,NA,NA,43200,NA,NA
SANAND (IN SAA),NA,12600,NA,NA,NA,13500,NA,NA,NA,16250,NA,14400,NA,17000,13500,17500,NA,15300,NA,19000,NA,16200,NA,21000,16500,18000,NA,18500,NA,23000,20000,24000,NA,NA,NA,25000,NA,NA,NA,30000,NA,30600,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,35000,35000,NA,27900,NA,NA,NA,33300,NA,NA,NA,43200,NA,NA
GANDHINAGAR (IN GDH),NA,12600,NA,NA,NA,13500,NA,NA,NA,16250,NA,14400,NA,NA,13500,17500,NA,15300,NA,NA,NA,16200,NA,NA,16500,18000,NA,18500,NA,NA,20000,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,35000,NA,27900,NA,NA,NA,33300,NA,NA,NA,43200,NA,NA
SANTEJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,16250,NA,NA,NA,NA,13500,17500,NA,NA,NA,NA,NA,NA,NA,NA,16500,18000,NA,NA,NA,NA,20000,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ODHAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,16250,NA,NA,NA,NA,13500,17500,NA,NA,NA,NA,NA,NA,NA,NA,16500,18000,NA,NA,NA,NA,20000,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHAPAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,NA,NA,NA,NA,20500,21000,NA,NA,NA,NA,NA,NA,NA,NA,22000,25250,NA,NA,NA,NA,29000,28250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYSORE ( IN MYQ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19250,NA,NA,NA,NA,NA,36000,NA,NA,23000,23000,NA,36900,NA,NA,29000,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,36900,NA,NA,NA,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34000,34000,NA,33300,NA,NA,NA,40500,NA,NA,NA,70200,NA,NA
YESHWANTPU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19250,NA,NA,NA,NA,NA,36000,NA,NA,23000,23000,NA,36900,NA,NA,29000,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,36900,NA,NA,NA,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34000,34000,NA,33300,NA,NA,NA,40500,NA,NA,NA,70200,NA,NA
SURAT (IN UDN),NA,14400,NA,NA,NA,15300,NA,NA,NA,8500,NA,16200,NA,NA,NA,12500,NA,17100,NA,NA,NA,18000,NA,NA,NA,16500,NA,18900,NA,NA,NA,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,NA,30600,NA,NA,NA,33300,NA,NA,NA,30600,NA,NA
RAJKOT (IN RAJ),NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,NA,NA,NA,NA,NA,21000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25250,NA,NA,NA,NA,NA,28250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,66600,NA,NA
CHIKALTHANA (IN CKH),NA,16200,NA,11000,NA,17100,NA,11500,NA,6000,11500,18000,9500,12000,7450,8000,NA,18900,NA,13000,NA,19800,11000,14000,10450,10450,13000,20700,13000,16000,13050,13050,14500,NA,15000,18000,NA,NA,NA,25000,NA,25200,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,16000,NA,18000,25000,15500,15500,NA,33300,NA,NA,NA,40500,NA,NA,26000,36000,NA,NA
SHENDRA,NA,16200,NA,11000,NA,17100,NA,11500,NA,6000,11500,18000,9500,12000,7450,8000,NA,18900,NA,13000,NA,19800,11000,14000,10450,10450,13000,20700,13000,16000,13050,13050,14500,NA,15000,18000,NA,NA,NA,25000,NA,25200,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,16000,NA,18000,25000,15500,15500,NA,33300,NA,NA,NA,40500,NA,NA,26000,36000,NA,NA
WAGHOLI,NA,10800,NA,6000,NA,11700,NA,6500,NA,4000,NA,12600,4500,7000,NA,5500,NA,13500,NA,7500,NA,14400,5000,8000,NA,6500,NA,15300,5800,8500,NA,7250,NA,NA,7500,9000,NA,NA,NA,13000,NA,21600,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,9500,13000,NA,8500,NA,29700,NA,NA,NA,30600,NA,NA,NA,18000,17000,NA
BHOSARI,NA,10800,NA,5000,NA,11700,NA,5500,NA,3500,7500,12600,4500,6500,3800,4000,NA,13500,NA,7500,NA,14400,5000,8500,6050,6250,10000,15300,5800,9500,6050,6250,10500,NA,7000,10500,NA,NA,NA,11500,NA,21600,NA,NA,NA,27900,NA,NA,NA,NA,NA,22000,13500,NA,8500,11500,8000,8000,NA,29700,NA,NA,NA,30600,NA,25000,19000,18000,16000,20000
HINJEWADI,NA,10800,NA,5000,NA,11700,NA,5500,NA,3500,7500,12600,4500,6500,3800,4000,NA,13500,NA,7500,NA,14400,5000,8500,6050,6250,10000,15300,5800,9500,6050,6250,10500,NA,7000,10500,NA,NA,NA,11500,NA,21600,NA,NA,NA,27900,NA,NA,NA,NA,NA,22000,13500,NA,8500,11500,8000,8000,NA,29700,NA,NA,NA,30600,NA,25000,19000,18000,16000,20000
CHAKAN (IN  CKN),NA,10800,NA,5000,NA,11700,NA,5500,NA,3500,NA,12600,4200,6500,NA,4000,NA,13500,NA,7500,NA,14400,5000,8500,NA,6250,NA,15300,5800,9500,NA,6300,10500,NA,7000,10500,NA,NA,NA,11500,NA,21600,NA,NA,NA,27900,NA,NA,NA,NA,NA,22000,NA,NA,8000,11500,NA,7500,NA,29700,NA,NA,NA,30600,NA,25000,NA,18000,16000,20000
PIRANGUT,NA,10800,NA,6000,NA,11700,NA,6500,NA,4000,8000,12600,4800,7000,3800,4000,NA,13500,NA,7500,NA,14400,5500,8000,6050,6250,10000,15300,6500,8500,6300,7250,11000,NA,8000,9000,NA,NA,NA,13000,NA,21600,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,14000,NA,10000,13000,8000,8000,NA,29700,NA,NA,NA,30600,NA,NA,20000,18000,17000,NA
KHOPOLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,NA,NA,5000,NA,3800,4000,NA,NA,NA,NA,NA,NA,5500,NA,6050,6250,NA,NA,6300,NA,6300,6300,NA,NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KARJAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,4250,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6250,NA,NA,NA,NA,NA,7250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHIVANE / MAVAL,NA,10800,NA,6000,NA,11700,NA,6500,NA,4250,8000,12600,4800,7000,3925,5000,NA,13500,NA,7500,NA,14400,5500,8000,6050,6250,10000,15300,6500,8500,6300,7250,11000,NA,8000,9000,NA,NA,NA,13000,NA,21600,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,14000,NA,10000,13000,8750,8750,NA,29700,NA,NA,NA,30600,NA,NA,20000,18000,17000,NA
LONAVALA,NA,NA,NA,6000,NA,NA,NA,6500,NA,3500,6000,NA,4500,7000,NA,4000,NA,NA,NA,7500,NA,NA,5200,8000,NA,6250,9000,NA,5800,8500,NA,6300,7500,NA,7500,9000,NA,NA,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA,8500,13000,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,18000,NA,16000,NA
KHANDALA,NA,NA,NA,6000,NA,NA,NA,6500,NA,6500,NA,NA,NA,7000,5350,8000,NA,NA,NA,7500,NA,NA,NA,8000,7500,8500,NA,NA,NA,8500,8900,9500,NA,NA,NA,9000,NA,NA,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,13000,16250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
