,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
114) DAPODI,7650,5000,8100,5500,3500,9900,6500,4250,10800,7500,11700,8500,6250,13500,9500,6750,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,8500,18900,NA,20700,25000,18000,20000
115) TALOJA,5400,6000,6300,6500,2500,7650,7500,3000,8100,8500,8650,9500,4750,9000,10500,6000,NA,11500,NA,14000,NA,NA,NA,NA,NA,NA,NA,14000,8000,NA,NA,NA,NA,1400,NA
116) KALAMBOLI ,5400,5500,6300,6000,2500,7650,6500,3000,8100,7500,8650,8500,4750,9000,9500,6000,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,7000,NA,NA,NA,NA,14400,NA
117) AMBERNATH,4500,NA,5400,NA,4750,6300,NA,5500,7200,NA,7650,NA,6325,8100,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,NA,NA,NA,NA,15300,NA
118) MAHAD,9000,5500,9900,6500,6500,10800,8500,7500,11700,9500,12600,10500,10500,13500,11500,14000,NA,12500,NA,18000,NA,NA,NA,NA,NA,NA,NA,18000,16500,NA,NA,NA,NA,20700,NA
119) VASAI,7200,NA,8100,NA,5000,8650,NA,5750,9000,NA,9900,NA,7000,10800,NA,7750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,15300,NA
120) OZAR,9000,6000,9900,6500,4500,10800,7500,5500,11700,8500,12600,9500,9250,13500,10500,9750,NA,12000,NA,17000,NA,NA,NA,NA,NA,NA,NA,17000,14000,NA,NA,NA,NA,20700,NA
121) SATPUR,9900,5000,10800,5500,4250,11700,6500,4750,12600,7500,13500,8500,9000,14400,9500,9500,NA,11000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,13750,NA,NA,NA,NA,22500,NA
122) AMBAD,9900,5000,10800,5500,4250,11700,6500,4750,12600,7500,13500,8500,9000,14400,9500,9500,NA,11000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,13750,NA,NA,NA,NA,22500,NA
123) GONDE,9900,5000,10800,5500,4250,11700,6500,5000,12600,7500,13500,8500,9000,14400,9500,9750,NA,11000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,14000,NA,NA,NA,NA,22500,NA
124) RANJANGAON,9900,9000,10800,9500,4000,11700,10000,4950,12600,10500,13500,11000,7500,15300,12000,8250,NA,13000,NA,16000,18000,NA,24300,NA,NA,NA,NA,16000,10350,20700,NA,25200,NA,20700,NA
125) SANASWADI,9900,6000,10800,6500,4000,11700,7000,4950,12600,7500,13500,8000,7500,15300,8500,8250,NA,9000,NA,13000,18000,NA,24300,NA,NA,NA,NA,13000,10350,20700,NA,25200,NA,20700,NA
126) TARAPUR,7200,NA,8100,NA,5500,8650,NA,6000,9000,NA,9900,NA,7750,10800,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,18000,NA
127) KARAD,23400,NA,24300,NA,7000,25200,12500,7500,26100,13500,27000,14500,9250,27900,15500,11000,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,17250,NA,NA,NA,NA,18000,NA
128) SHRIWAL,9900,NA,10800,NA,6000,11700,8000,6500,12600,9000,13500,10000,7750,15300,11000,9000,NA,13000,NA,20000,NA,NA,NA,NA,NA,NA,NA,20000,14500,NA,NA,NA,NA,14400,NA
129) BOISAR,7200,NA,8100,NA,5500,8650,NA,6000,9000,NA,9900,NA,7750,10800,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,14400,NA
130) PALGHAR ,7200,NA,8100,NA,5500,8650,NA,6000,9000,NA,9900,NA,7750,10800,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,14400,NA
131) MULSHI,9900,6000,10800,6500,NA,11700,7000,NA,12600,7500,13500,8000,NA,14400,8500,NA,NA,9000,NA,13000,NA,NA,NA,NA,NA,NA,NA,13000,NA,NA,NA,NA,NA,20700,NA
132) TURBHE,4500,5500,5400,6000,2500,6300,6500,3000,7200,7500,7650,8500,4250,8100,9500,5000,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,7000,NA,NA,NA,NA,14400,NA
133) MAHAPE,4500,5500,5400,6000,2500,6300,6500,3000,7200,7500,7650,8500,4250,8100,9500,5000,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,7000,NA,NA,NA,NA,14400,NA
134) BADLAPUR,4500,NA,5400,NA,5000,6300,NA,8000,7200,NA,7650,NA,9000,8100,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14500,NA,NA,NA,NA,14400,NA
135) ULHASNAGAR,4500,NA,5400,NA,NA,6300,NA,NA,7200,NA,7650,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA
136) DOMBIVLI,4500,NA,5400,NA,4750,6300,NA,5500,7200,NA,7650,NA,6325,8100,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,NA,NA,NA,NA,14400,NA
137) VIRAR,7200,NA,8100,NA,5000,8650,NA,5750,9000,NA,9900,NA,7000,10800,NA,7750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,14400,NA
138) MASJID BUNDER,4500,NA,5400,NA,4000,6300,NA,4500,7200,NA,7650,NA,5750,8100,NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,14400,NA
139) KALBADEVI,4500,NA,5400,NA,NA,6300,NA,NA,7200,NA,7650,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA
140) SEWRI,4500,NA,5400,NA,NA,6300,NA,NA,7200,NA,7650,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA
