,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
27) NAVI MUMBAI ,4500,5500,5400,6000,3000,6300,6500,4000,7200,7500,7650,8500,5175,8100,9500,6500,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,9500,NA,NA,NA,NA,14400,NA
28) NHAVA SHEVA,4500,5500,5400,6000,2000,6300,6500,3500,7200,7500,7650,8500,6000,8100,9500,6850,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,8500,NA,NA,NA,NA,14400,NA
29) PALGHAR,7200,NA,8100,NA,5500,8650,NA,6000,9000,NA,9900,NA,7750,10800,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,15300,NA
30) PANVEL ,4500,5500,5400,6000,3000,6300,6500,3500,7200,7500,7650,8500,4000,8100,9500,4500,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,6500,NA,NA,NA,NA,14400,NA
31) PIMPRI ,9000,5000,9900,5500,3500,10800,6500,4250,11700,7500,12600,8500,6250,13500,9500,6750,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,8500,18900,NA,20700,25000,18000,20000
32) PUNE ,9000,6000,9900,6500,4250,10800,7000,5000,11700,7500,12600,8000,6500,13500,8500,7000,NA,9000,NA,13000,15300,NA,NA,NA,NA,NA,NA,13000,9250,18900,NA,20700,NA,18000,NA
33) RATNAGIRI ,18000,NA,19800,NA,NA,20700,NA,NA,21600,NA,22500,NA,NA,23400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA
34) ROHA ,7200,NA,8100,NA,7500,8650,NA,8000,9000,NA,9900,NA,9000,10800,NA,9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11500,NA,NA,NA,NA,27000,NA
35) SANGLI ,23400,NA,24300,NA,7500,25200,12500,8500,26100,13500,27000,14500,10500,27900,15500,12750,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,21850,NA,NA,NA,NA,25400,NA
36) SATARA ,23400,NA,24300,NA,6000,25200,8000,6500,26100,9000,27000,10000,7750,27900,11000,9000,NA,13000,NA,20000,NA,NA,NA,NA,NA,NA,NA,20000,14500,NA,NA,NA,NA,24300,NA
37) ICHALKARANJI,23400,NA,24300,NA,7500,25200,12500,8500,26100,13500,27000,14500,10500,27900,15500,12750,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,21850,NA,NA,NA,NA,40500,NA
38) SHIROLI,11260,NA,11700,NA,7500,12600,12500,8500,13500,13500,14400,14500,10500,15300,15500,12750,NA,17000,NA,25000,NA,NA,NA,NA,NA,NA,NA,25000,21850,NA,NA,NA,NA,30600,NA
39) WAI,23400,NA,24300,NA,6000,25200,8000,6750,26100,9000,27000,10000,8250,27900,11000,9750,NA,13000,NA,20000,NA,NA,NA,NA,NA,NA,NA,20000,15000,NA,NA,NA,NA,24300,NA
40) PHALTAN,23400,NA,24300,NA,8500,25200,NA,10500,26100,NA,27000,NA,12000,27900,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16250,NA,NA,NA,NA,24300,NA
41) HADAPSAR,9900,6000,10800,6500,4500,11700,7000,6000,12600,7500,13500,8000,7250,14400,8500,8000,NA,9000,NA,13000,15300,NA,NA,NA,NA,NA,NA,13000,11000,NA,NA,20700,NA,20700,NA
42) SHAHAPUR ,11260,5000,11700,5500,NA,12600,6500,NA,13500,7500,14400,8500,NA,15300,9500,NA,NA,11000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,20700,NA
43) SHIRUR ,11260,9000,11700,9500,NA,12600,10000,NA,13500,10500,14400,11000,NA,15300,12000,NA,NA,13000,NA,16000,NA,NA,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,27000,NA
44) SINDHUDURG ,20700,NA,21600,NA,NA,22500,NA,NA,23400,NA,26100,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,NA
45) SINNAR ,9900,6000,10800,6500,4250,11700,7500,5000,12600,8500,13500,9500,9000,14400,10500,9750,NA,12000,NA,17000,NA,NA,NA,NA,NA,NA,NA,17000,15000,NA,NA,NA,NA,20700,NA
46) SOLAPUR ,15300,NA,16200,NA,NA,17100,NA,NA,18000,NA,18900,NA,NA,19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA
47) TALEGON ,9900,5000,10800,5500,3500,11700,6500,4250,12600,7500,13500,8500,6250,14400,9500,6750,NA,10500,NA,11500,NA,NA,NA,NA,NA,22000,NA,11500,8500,NA,NA,NA,25000,20700,20000
48) ALANDI,9000,5000,9900,5500,3500,10800,6500,4250,11700,7500,12600,8500,6250,13500,9500,6750,NA,10500,NA,11500,NA,NA,NA,NA,NA,22000,NA,11500,8500,NA,NA,NA,25000,NA,20000
