,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new
JNPT – SATARA – JNPT,NA,24300,NA,23000,17500,18000,NA,30600,NA,26000,21200,21500,NA,30600,NA,29000,25300,23000,NA,36000,NA,35000,25300,25000,NA,36000,NA,33000,25400,27700,NA,36000,NA,37000,28500,29400,NA,40500,NA,39000,28500,31500,NA,NA,NA,NA,28500,33900
JNPT – PHALTAN – JNPT,NA,24300,NA,23000,NA,18000,NA,30600,NA,26000,NA,21500,NA,30600,NA,29000,NA,23000,NA,36000,NA,35000,NA,25000,NA,36000,NA,33000,NA,27700,NA,36000,NA,37000,NA,29400,NA,80100,NA,39000,NA,31500,NA,NA,NA,NA,NA,33900
JNPT – DHARWAD – JNPT,NA,NA,NA,48000,NA,44000,NA,50400,NA,52000,NA,53800,NA,60300,NA,61000,NA,58000,NA,66600,NA,65000,NA,62500,NA,60300,NA,58000,NA,59000,NA,66600,NA,62000,NA,63000,NA,40500,NA,68000,NA,67900,NA,NA,NA,NA,NA,76000
JNPT – AURANGABAD – JNPT,NA,27000,NA,28000,NA,25000,NA,33300,NA,30000,NA,29300,NA,36000,NA,37000,NA,32600,NA,36900,NA,41000,NA,38500,NA,36000,NA,41000,NA,36500,NA,40500,NA,43000,NA,38800,NA,30600,NA,45000,NA,43600,NA,45000,NA,NA,NA,48800
JNPT – SILVASSA / DAMAN / VAPI – JNPT,NA,18900,NA,22000,18000,18000,NA,24300,NA,25000,20000,22900,NA,30600,NA,27000,24000,26000,NA,30600,NA,29000,24000,29500,NA,27000,NA,29000,26000,27500,NA,30600,NA,34000,29000,29500,NA,36000,NA,37000,29000,33900,NA,36000,NA,NA,29000,36500
JNPT – CHIPLUN – JNPT,NA,27000,NA,25000,NA,18500,NA,30000,NA,29000,NA,22000,NA,33300,NA,32000,NA,25500,NA,36900,NA,35000,NA,27000,NA,NA,NA,34000,NA,23500,NA,NA,NA,37000,NA,25000,NA,NA,NA,45000,NA,27500,NA,NA,NA,NA,NA,30000
JNPT – ROHA – JNPT,NA,20700,NA,18000,NA,12000,NA,22500,NA,21000,NA,15000,NA,24300,NA,25000,NA,17500,NA,30600,NA,28000,NA,19600,NA,NA,NA,26000,NA,17000,NA,NA,NA,29000,NA,18500,NA,NA,NA,32000,NA,22500,NA,NA,NA,NA,NA,25500
JNPT – WADA – JNPT,NA,NA,NA,18000,13000,12500,NA,NA,NA,20000,16000,16700,NA,NA,NA,22000,20000,18500,NA,NA,NA,25000,20000,20500,NA,NA,NA,24000,20000,18500,NA,NA,NA,27000,25000,20000,NA,NA,NA,30000,25000,22500,NA,NA,NA,NA,25000,26000
JNPT – JALGAON – JNPT,NA,30600,NA,35000,NA,31000,NA,33300,NA,39000,NA,35700,NA,36900,NA,44000,NA,38000,NA,42300,NA,48000,NA,41600,NA,NA,NA,46000,NA,41000,NA,NA,NA,49000,NA,42800,NA,NA,NA,52000,NA,44900,NA,NA,NA,NA,NA,47600
JNPT – SAKORE (NIPHAD) / MOHADI (DINDORI) – JNPT,NA,20700,NA,25000,NA,18000,NA,24300,NA,28000,NA,22000,NA,27000,NA,32000,NA,25000,NA,30600,NA,35000,NA,28000,NA,30600,NA,35000,NA,25700,NA,30600,NA,37000,NA,28500,NA,30600,NA,39000,NA,33500,NA,NA,NA,NA,NA,37600
JNPT - AHMEDNAGAR - JNPT,NA,20700,NA,23000,16600,22000,NA,25200,NA,26000,20000,26000,NA,30600,NA,29000,25000,28000,NA,33300,NA,33000,25000,32000,NA,33300,NA,32000,26000,29600,NA,33300,NA,36000,29000,32700,NA,40500,NA,39000,29000,36500,NA,NA,NA,NA,29000,43000
JNPT - SHIRWAL/SASEWADI/KHANDALA/ KHEDSHIVAPUR - JNPT,NA,18000,NA,23000,15000,17000,NA,23400,NA,26000,19500,21500,NA,30600,NA,29000,23500,25000,NA,30600,NA,35000,23500,27000,NA,27000,NA,33000,23000,23500,NA,27900,NA,37000,26000,25000,NA,30600,NA,39000,26000,27700,NA,NA,NA,NA,26000,30500
JNPT - SANGLI - JNPT,NA,30600,NA,42000,24000,24700,NA,33300,NA,45000,28600,29500,NA,36900,NA,48000,34350,33500,NA,40500,NA,52000,34350,38000,NA,40500,NA,48000,34925,37000,NA,40500,NA,52000,40100,40500,NA,44100,NA,58000,40100,45000,NA,NA,NA,NA,40100,51000
JNPT - KOLHAPUR - JNPT,NA,30600,NA,42000,24000,24700,NA,36000,NA,45000,28600,29500,NA,36900,NA,48000,34350,33500,NA,40500,NA,52000,34350,38000,NA,40500,NA,48000,34925,37000,NA,40500,NA,52000,40100,40500,NA,44100,NA,58000,40100,45000,NA,NA,NA,NA,40100,51000
JNPT - WALUJ - JNPT,NA,27000,NA,28000,21800,24300,NA,30600,NA,30000,26500,28700,NA,36000,NA,37000,31500,33600,NA,40500,NA,41000,31500,37500,NA,36900,NA,41000,32200,35400,NA,40500,NA,43000,38000,37400,NA,44110,NA,45000,38000,43900,NA,45000,NA,NA,38000,46200
JNPT - SOLAPUR - JNPT,NA,30600,NA,42000,24000,24700,NA,30600,NA,45000,28100,29500,NA,36000,NA,48000,32500,33500,NA,40500,NA,52000,32500,38000,NA,40500,NA,48000,34000,37000,NA,40500,NA,52000,39500,40500,NA,45000,NA,58000,39500,45000,NA,NA,NA,NA,39500,51000
JNPT - BELGAUM - JNPT,NA,36000,NA,48000,33000,36500,NA,40500,NA,52000,38000,43600,NA,44100,NA,61000,44000,46200,NA,50400,NA,65000,44000,52200,NA,NA,NA,58000,52000,47900,NA,NA,NA,62000,54000,51400,NA,NA,NA,68000,54000,61800,NA,NA,NA,NA,54000,71400
JNPT - HUBLI - JNPT,NA,40500,NA,NA,37800,44000,NA,45000,NA,NA,42400,53800,NA,50400,NA,NA,51600,58000,NA,54000,NA,NA,51600,62500,NA,NA,NA,NA,53900,59000,NA,NA,NA,NA,61950,63000,NA,NA,NA,NA,61950,67900,NA,NA,NA,NA,61950,76000
JNPT - GOA - JNPT,NA,36000,NA,60000,35000,36900,NA,40500,NA,70000,41000,47500,NA,44100,NA,80000,52000,52900,NA,50400,NA,NA,52000,61000,NA,NA,NA,65000,49000,53900,NA,NA,NA,75000,62000,58700,NA,NA,NA,NA,62000,68500,NA,NA,NA,NA,62000,74000
JNPT - VASAI - JNPT,NA,NA,NA,20000,13000,13500,NA,NA,NA,22000,16000,16600,NA,NA,NA,26000,20000,20500,NA,NA,NA,28000,20000,23500,NA,NA,NA,28000,20000,20000,NA,NA,NA,32500,25000,24800,NA,NA,NA,34500,25000,27600,NA,NA,NA,NA,25000,34600
JNPT - PANVEL CITY/ NAVI MUMBAI - JNPT,NA,9900,NA,15000,8000,8000,NA,10800,NA,17000,11000,11000,NA,12600,NA,19000,13000,13000,NA,12600,NA,22000,13000,14500,NA,14400,NA,16000,12000,12000,NA,13500,NA,18000,15000,13500,NA,14400,NA,24000,15000,15000,NA,NA,NA,NA,15000,17000
JNPT - VADODARA - JNPT,NA,30600,NA,40000,30000,33000,NA,30600,NA,45000,36000,38800,NA,33300,NA,48000,39000,43600,NA,36000,NA,54000,39000,47900,NA,40500,NA,48000,43000,46900,NA,40500,NA,52000,53000,51600,NA,45000,NA,58000,53000,58700,NA,NA,NA,NA,53000,64000
JNPT - AHMEDABAD - JNPT,NA,33300,NA,48000,39000,40000,NA,36000,NA,53000,42000,48500,NA,40500,NA,56000,48000,54900,NA,40500,NA,62000,48000,62500,NA,45900,NA,56000,52000,58800,NA,45900,NA,60000,56000,63200,NA,50400,NA,64000,56000,67500,NA,NA,NA,NA,56000,75500
JNPT - PITHAMPUR - JNPT,NA,40500,NA,NA,NA,43000,NA,54000,NA,NA,NA,56000,NA,60300,NA,NA,NA,62000,NA,70200,NA,NA,NA,67000,NA,60300,NA,NA,NA,61000,NA,66600,NA,NA,NA,64000,NA,NA,NA,NA,NA,67700,NA,NA,NA,NA,NA,74000
JNPT - MANDIDEEP - JNPT,NA,50440,NA,NA,NA,57000,NA,66600,NA,NA,NA,64400,NA,70200,NA,NA,NA,67000,NA,81000,NA,NA,NA,71000,NA,72900,NA,NA,NA,71000,NA,80100,NA,NA,NA,78500,NA,NA,NA,NA,NA,83000,NA,NA,NA,NA,NA,88700
JNPT - DANNAD- JNPT,NA,45000,NA,NA,NA,NA,NA,60300,NA,NA,NA,NA,NA,63900,NA,NA,NA,NA,NA,70200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JNPT - DEWAS- JNPT,NA,45000,NA,NA,NA,44000,NA,60300,NA,NA,NA,58000,NA,63900,NA,NA,NA,64400,NA,70200,NA,NA,NA,69300,NA,72000,NA,NA,NA,64000,NA,80100,NA,NA,NA,67000,NA,NA,NA,NA,NA,70000,NA,NA,NA,NA,NA,77600
JNPT - BHOPAL- JNPT,NA,50400,NA,NA,NA,57000,NA,70200,NA,NA,NA,64400,NA,72900,NA,NA,NA,67000,NA,80100,NA,NA,NA,71000,NA,80100,NA,NA,NA,71000,NA,80100,NA,NA,NA,78500,NA,NA,NA,NA,NA,83000,NA,NA,NA,NA,NA,88700
JNPT - VODODARA- JNPT,NA,27000,NA,40000,NA,33000,NA,30600,NA,45000,NA,38800,NA,33300,NA,48000,NA,43600,NA,36000,NA,54000,NA,47900,NA,NA,NA,48000,NA,46900,NA,NA,NA,52000,NA,51600,NA,NA,NA,58000,NA,58700,NA,NA,NA,NA,NA,64000
JNPT - PITHAMPUR- JNPT,NA,40500,NA,NA,NA,43000,NA,56700,NA,NA,NA,56000,NA,60300,NA,NA,NA,62000,NA,72000,NA,NA,NA,67000,NA,60300,NA,NA,NA,61000,NA,66600,NA,NA,NA,64000,NA,NA,NA,NA,NA,67700,NA,NA,NA,NA,NA,74000
JNPT - ANKLESHWAR- JNPT,NA,24300,NA,40000,NA,33000,NA,30600,NA,45000,NA,397000,NA,33300,NA,48000,NA,41500,NA,36000,NA,54000,NA,44700,NA,40500,NA,48000,NA,42500,NA,40500,NA,52000,NA,44600,NA,45000,NA,58000,NA,47500,NA,NA,NA,NA,NA,52700
JNPT - Andheri - JNPT,NA,NA,NA,NA,NA,11500,NA,NA,NA,NA,NA,14400,NA,NA,NA,NA,NA,17000,NA,NA,NA,NA,NA,20400,NA,NA,NA,NA,NA,24000,NA,NA,NA,NA,NA,27000,NA,NA,NA,NA,NA,30500,NA,NA,NA,NA,NA,33400
